,건축물명,면적,정제도로명주소,정제지번주소,정제WGS84위도,정제WGS84경도
450,수원환경사업소 분뇨 및 쓰레기처리시설,50.4,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
451,수원환경사업소 송풍기  탈수기  농추긱동,1448.14,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
452,수원환경사업소 송풍기  탈수기  농축기동(1층),2092,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
453,수원환경사업소 송풍기  탈수기  농축기동(2층),270.14,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
454,수원환경사업소 슬러지저장창고,450,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
455,수원환경사업소 운동시설(골프연습장),1114.96,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
456,수원환경사업소 운동시설(골프연습장) 지하1층,124.84,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
457,수원환경사업소 침전지 계단 및 전기실 (1층),938.01,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
458,수원환경사업소 침전지계단 및 전기실(지하1층),253.58,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
459,수원환경사업소 가스브로와동(1처리장 산발효조 1층),228.48,,경기도 화성시 송산동 5-15-1외 297필지,,
460,수원환경사업소 가스브로와동(1처리장 산발효조 지하1층),94.24,,경기도 화성시 송산동 5-15-1외 297필지,,
461,수원환경사업소 급수동(1처리장 종침4계열뒤 1층),171.15,,경기도 화성시 송산동 5-15-1외 297필지,,
462,수원환경사업소 송탈수기동(1처리장 통제실 1층),1828.32,,경기도 화성시 송산동 5-15-1외 297필지,,
463,수원환경사업소 송탈수기동(1처리장 통제실 2층),1341.32,,경기도 화성시 송산동 5-15-1외 297필지,,
464,수원환경사업소 송탈수기동(1처리장 통제실 지하1층),1968.72,,경기도 화성시 송산동 5-15-1외 297필지,,
465,수원환경사업소 염소투입동(1처리장 종침4계열뒤 1층),112.3,,경기도 화성시 송산동 5-15-1외 297필지,,
466,수원환경사업소 염소투입동(1처리장 종침4계열뒤 지하1층),133.5,,경기도 화성시 송산동 5-15-1외 297필지,,
467,장안사랑채 A동,391.42,경기도 수원시 팔달구 정조로 887,경기도 수원시 팔달구 장안동 33-1,37.2870682008,127.0144896436
468,경기도참전유공장애인협의회수원시지회(사용허가),42.98,경기도 수원시 팔달구 향교로 164,경기도 수원시 팔달구 중동 22-1,37.2749524223,127.0164286003
469,신복경로당,95.14,경기도 수원시 팔달구 중부대로125번길 23-11,경기도 수원시 팔달구 지동 182-2,37.2796272467,127.0289988057
470,동문경로당,232.34,경기도 수원시 팔달구 창룡문로100번길 10,경기도 수원시 팔달구 지동 232-26,37.2857528244,127.0257680412
471,창룡마을창작센터,738.59,경기도 수원시 팔달구 창룡문로 34,경기도 수원시 팔달구 지동 294-8,37.2803724763,127.0215265192
472,못골경로당,121.5,경기도 수원시 팔달구 팔달문로115번길 43,경기도 수원시 팔달구 지동 473,37.283479984,127.0276887741
473,팔달문시장고객지원센터,405.35,경기도 수원시 팔달구 팔달문로 9,경기도 수원시 팔달구 팔달로2가 48-1,37.2777461119,127.018486255
474,청소년별보듬터(여자단기청소년쉼터),1116.64,,경기도 수원시 팔달구 팔달로3가 79 지상3층,37.2754548376,127.0158501224
475,화서1동경로당,161.81,경기도 수원시 팔달구 팔달로119번길 64,경기도 수원시 팔달구 화서동 116-5,37.2794815949,127.0000770517
476,화서1동 환경관리원 쉼터,199.3,경기도 수원시 팔달구 동말로26번길 9-19,경기도 수원시 팔달구 화서동 184-115,37.2779855099,126.9980001354
477,화서1동어린이집,596.72,경기도 수원시 팔달구 동말로4번길 22,경기도 수원시 팔달구 화서동 184-353,37.2760811789,126.9953169156
478,숙지화장실,105.58,,경기도 수원시 팔달구 화서동 259-13,37.2853719658,126.9976947335
479,화서다산도서관,3611,경기도 수원시 팔달구 화양로68번길 7-35,경기도 수원시 팔달구 화서동 262,37.2856629403,126.9974302043
480,서문경로당,199.86,경기도 수원시 팔달구 팔달로173번길 14-13,경기도 수원시 팔달구 화서동 34-4,37.2842661421,127.0060807374
481,서호체육센터,4309,경기도 수원시 팔달구 수성로 120,경기도 수원시 팔달구 화서동 410-6,37.2843167111,126.9862604877
482,백로화장실,31.2,경기도 수원시 팔달구 수성로 92,경기도 수원시 팔달구 화서동 436-2,37.2818400133,126.9887695398
483,시립 꽃뫼보듬이 나눔이 어린이집,849.24,경기도 수원시 팔달구 덕영대로697번길 21-4,경기도 수원시 팔달구 화서동 660,37.2851235781,126.9914435154
484,서화경로당,151.44,경기도 수원시 팔달구 팔달로153번길 4,경기도 수원시 팔달구 화서동 68-4,37.2821813958,127.005473924
485,수원시글로벌청소년드림센터,1428.82,경기도 수원시 팔달구 팔달로141번길 4,경기도 수원시 팔달구 화서동 70-10,37.2812503949,127.0048595853
486,봉화대화장실,49.59,경기도 수원시 팔달구 창룡대로104번길 158,경기도 수원시 팔달구 남수동 7-3,37.281686102,127.0209316109
487,주민자치 교육공간,71.07,,경기도 수원시 권선구 평동 182,37.2588814751,126.9934467622
488,장애인 실내게이트볼장,459,경기도 수원시 권선구 수성로 88,경기도 수원시 권선구 서둔동 365,37.2833491176,126.9834122072
489,수원환경사업소 화장실,122.66,경기도 화성시 태안로 263,경기도 화성시 송산동 5-1번지 외 297필지,37.2145148309,127.021131256
490,수원환경사업소 수원환경사업소 관리본관(관리동 1층),864,경기도 화성시 태안로 263,경기도 화성시 송산동 5-1외 297필지,37.2145148309,127.021131256
491,수원환경사업소 수원환경사업소 후생복지관,321.6,,경기도 화성시 송산동 5-1 외 297번지,,
492,수원환경사업소 골프연습장(2층),1177.67,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
493,수원환경사업소 송풍기  탈수기  농축기동 (4층),150,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
494,수원환경사업소 염소투입동,270,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
495,수원환경사업소 중간펌프동,1120.86,,경기도 화성시 송산동 5-15-1번지 외 297필지,,
496,시립지방산업단지 어린이집,1570,경기도 수원시 권선구 산업로 174-21,경기도 수원시 권선구 고색동 1095,37.241951136,126.9841007754
497,정현 중보들 테니스센터,2644.81,,경기도 수원시 권선구 고색동 1129,37.2475366726,126.9896215269
498,고색2동경로당(작은말),71.34,경기도 수원시 권선구 고색로78번길 5,경기도 수원시 권선구 고색동 36-31,37.2509168749,126.9854491534
