,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
398,천천중학교,중학교,경기도 수원시 장안구 천천동 510,경기도 수원시 장안구 정자로42번길 16,37.30024941,126.981025
399,솔빛초등학교,초등학교,경기도 화성시 반송동 133,경기도 화성시 동탄반석로 84,37.1967436,127.0737903
400,대지초등학교,초등학교,경기도 용인시 수지구 죽전동 313-3,경기도 용인시 수지구 대지로51번길 6,37.33017106,127.1160431
401,배양초등학교,초등학교,경기도 화성시 배양동 76,경기도 화성시 융건로 90,37.21885531,126.9887553
402,지곡초등학교,초등학교,경기도 용인시 기흥구 지곡동 703,경기도 용인시 기흥구 사은로 274-45,37.2521849,127.1382088
403,기산중학교,중학교,경기도 화성시 기산동 469,경기도 화성시 동탄지성로 286,37.219205,127.052447
404,정천초등학교,초등학교,경기도 수원시 장안구 천천동 335,경기도 수원시 장안구 화산로 83,37.2912382,126.9827548
405,동양초등학교,초등학교,경기도 화성시 남양읍 남양리 1646-14,경기도 화성시 남양읍 시청로45번길 11,37.20699234,126.8221898
406,효정초등학교,초등학교,경기도 수원시 권선구 권선동 1233,경기도 수원시 권선구 동수원로285번길 5,37.25513574,127.0349022
407,동탄고등학교,고등학교,경기도 화성시 반송동 60,경기도 화성시 동탄공원로1길 26-7,37.20414063,127.0603836
408,능실초등학교,초등학교,경기도 수원시 권선구 호매실동 1391,경기도 수원시 권선구 호매실로165번길 28,37.259734,126.9560546
409,기산초등학교,초등학교,경기도 화성시 반월동 705-4,경기도 화성시 동탄지성로 344,37.22460078,127.0507334
410,죽전초등학교,초등학교,경기도 용인시 수지구 죽전동 513-1,경기도 용인시 수지구 용구대로2772번길 15,37.33376682,127.110387
411,조원초등학교,초등학교,경기도 수원시 장안구 조원동 390,경기도 수원시 장안구 금당로 53,37.30321326,127.0172011
412,서호중학교,중학교,경기도 수원시 권선구 서둔동 103-22,경기도 수원시 권선구 서호로 71,37.26639752,126.987794
413,안용중학교,중학교,경기도 화성시 송산동 97-7,경기도 화성시 효행로 833,37.20588892,127.0190498
414,보라고등학교,고등학교,경기도 용인시 기흥구 보라동 605,경기도 용인시 기흥구 한보라1로43번길 7,37.25145551,127.1105881
415,병점초등학교,초등학교,경기도 화성시 진안동 517-2,경기도 화성시 경기대로 1052,37.21024362,127.0338907
416,동막초등학교,초등학교,경기도 용인시 기흥구 동백동 576,경기도 용인시 기흥구 동백8로 39,37.28608046,127.1555391
417,역북초등학교,초등학교,경기도 용인시 처인구 김량장동 508-1,경기도 용인시 처인구 명지로 15-30,37.23457297,127.1924469
418,초당초등학교,초등학교,경기도 용인시 기흥구 중동 1010,경기도 용인시 기흥구 동백중앙로 78,37.26347282,127.160933
419,지동초등학교,초등학교,경기도 수원시 팔달구 지동 119-1,경기도 수원시 팔달구 중부대로 67,37.27715909,127.024503
420,용인홍천고등학교,고등학교,경기도 용인시 수지구 신봉동 885,경기도 용인시 수지구 수지로227번길 22,37.32221072,127.0823971
421,서룡초등학교,초등학교,경기도 용인시 처인구 역북동 416,경기도 용인시 처인구 중부대로1281번길 11,37.23811035,127.187073
422,성지중학교,중학교,경기도 용인시 기흥구 구갈동 576,경기도 용인시 기흥구 강남서로 26,37.27403886,127.1281168
423,언남초등학교,초등학교,경기도 용인시 기흥구 언남동 498,경기도 용인시 기흥구 기흥로116번길 87,37.28975883,127.1195878
424,용마초등학교,초등학교,경기도 용인시 처인구 마평동 675-4,경기도 용인시 처인구 금학로 471-1,37.23706584,127.2148977
425,동성중학교,중학교,경기도 수원시 팔달구 우만동 533,경기도 수원시 팔달구 월드컵로 293,37.28470754,127.0349611
426,성복초등학교,초등학교,경기도 용인시 수지구 성복동 104-5,경기도 용인시 수지구 성복2로78번길 52,37.31954195,127.0781599
427,구운초등학교,초등학교,경기도 수원시 권선구 구운동 465,경기도 수원시 권선구 여기산로 29,37.28066615,126.9779455
428,영복여자중학교,중학교,경기도 수원시 팔달구 화서동 7-10,경기도 수원시 팔달구 장안로7번길 49,37.28559857,127.0028572
429,학동초등학교,초등학교,경기도 화성시 반송동 81,경기도 화성시 동탄지성로 79-17,37.20528356,127.0660513
430,용인대덕중학교,중학교,경기도 용인시 수지구 죽전동 1156,경기도 용인시 수지구 죽전로293번길 12,37.33674758,127.1276076
431,매향중학교,중학교,경기도 수원시 팔달구 매향동 110-2,경기도 수원시 팔달구 수원천로392번길 44-22,37.28575833,127.019207
432,포곡중학교,중학교,경기도 용인시 처인구 포곡읍 전대리 159-4,경기도 용인시 처인구 포곡읍 석성로 1176,37.2797216,127.2213922
433,서원고등학교,고등학교,경기도 용인시 수지구 상현동 836,경기도 용인시 수지구 상현로42번길 26-7,37.302407,127.0814728
434,오목초등학교,초등학교,경기도 수원시 권선구 오목천동 422-1,경기도 수원시 권선구 오목천로 24,37.23969613,126.9656145
435,죽전고등학교,고등학교,경기도 용인시 수지구 죽전동 861-1,경기도 용인시 수지구 용구대로2771번길 23,37.33263026,127.106055
436,선행초등학교,초등학교,경기도 수원시 권선구 권선동 1331,경기도 수원시 권선구 세권로196번길 21,37.25438485,127.0259805
437,화홍고등학교,고등학교,경기도 수원시 권선구 권선동 1302,경기도 수원시 권선구 세권로 331,37.2517435,127.040294
