,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
556,신갈중학교,중학교,경기도 용인시 기흥구 신갈동 113,경기도 용인시 기흥구 용구대로2152번길 23,37.28067138,127.1086862
557,대평초등학교,초등학교,경기도 수원시 장안구 정자동 871-2,경기도 수원시 장안구 대평로 111,37.29774522,126.9907649
558,와우초등학교,초등학교,경기도 화성시 봉담읍 동화리 188,경기도 화성시 봉담읍 식골길 14,37.22010434,126.9719098
559,헌산중학교,중학교,경기도 용인시 처인구 원삼면 사암리 883,경기도 용인시 처인구 원삼면 내동로 50-13,37.17384579,127.2958775
560,구성고등학교,고등학교,경기도 용인시 기흥구 마북동 545-8,경기도 용인시 기흥구 연원로42번길 47,37.29914483,127.115635
561,용인대덕초등학교,초등학교,경기도 용인시 수지구 죽전동 1158,경기도 용인시 수지구 죽전로293번길 1,37.33588361,127.1278322
562,수지고등학교,고등학교,경기도 용인시 수지구 풍덕천동 688,경기도 용인시 수지구 수풍로 73,37.33131984,127.0922274
563,송화초등학교,초등학교,경기도 화성시 병점동 465-5,경기도 화성시 병점중앙로35번길 42,37.20184656,127.0396665
564,신봉고등학교,고등학교,경기도 용인시 수지구 신봉동 979,경기도 용인시 수지구 신봉3로 45,37.32774897,127.0629561
565,세류중학교,중학교,경기도 수원시 권선구 세류동 207,경기도 수원시 권선구 덕영대로1031번길 6,37.2576272,127.0070015
566,조원중학교,중학교,경기도 수원시 장안구 조원동 40,경기도 수원시 장안구 수일로233번길 35,37.30761201,127.0167427
567,수원농생명과학고등학교,고등학교,경기도 수원시 장안구 영화동 109,경기도 수원시 장안구 광교산로 13,37.29515359,127.0194502
568,고색초등학교,초등학교,경기도 수원시 권선구 고색동 887-59,경기도 수원시 권선구 매송고색로 681,37.25156123,126.9783835
569,정자초등학교,초등학교,경기도 수원시 장안구 정자동 873,경기도 수원시 장안구 장안로 191,37.299576,126.9951959
570,신봉중학교,중학교,경기도 용인시 수지구 신봉동 981,경기도 용인시 수지구 신봉3로 43,37.32765873,127.064307
571,수원매화초등학교,초등학교,경기도 수원시 영통구 매탄동 157,경기도 수원시 영통구 권광로304번길 47-17,37.27457739,127.0406845
572,청원초등학교,초등학교,경기도 화성시 마도면 청원리 228-4,경기도 화성시 마도면 해운로 794,37.18820787,126.7608922
573,삼일중학교,중학교,경기도 수원시 팔달구 매향동 10-22,경기도 수원시 팔달구 수원천로 342,37.28439868,127.0185096
574,서신중학교,중학교,경기도 화성시 서신면 상안리 872,경기도 화성시 서신면 바다뜰길 49-9,37.1695636,126.7005959
575,곡반중학교,중학교,경기도 수원시 권선구 곡반정동 519,경기도 수원시 권선구 동수원로146번길 144-7,37.2443514,127.033082
576,망포중학교,중학교,경기도 수원시 영통구 망포동 556-6,경기도 수원시 영통구 태장로82번길 15,37.238235,127.0559614
577,반송초등학교,초등학교,경기도 화성시 반송동 199,경기도 화성시 동탄솔빛로 14,37.19076668,127.070177
578,용인한일초등학교,초등학교,경기도 용인시 기흥구 공세동 680,경기도 용인시 기흥구 한보라1로 145,37.24332154,127.1069279
579,조원고등학교,고등학교,경기도 수원시 장안구 조원동 44,경기도 수원시 장안구 수일로233번길 15,37.30734419,127.0156673
580,보라중학교,중학교,경기도 용인시 기흥구 보라동 614,경기도 용인시 기흥구 한보라1로 63,37.24950722,127.1082152
581,성호초등학교,초등학교,경기도 오산시 오산동 862-1,경기도 오산시 성호새싹길 8,37.15047668,127.070944
582,수원중학교,중학교,경기도 수원시 팔달구 매교동 251,경기도 수원시 팔달구 정조로 666-10,37.26713365,127.0174147
583,파장초등학교,초등학교,경기도 수원시 장안구 파장동 574,경기도 수원시 장안구 경수대로1081번길 32-9,37.30896098,126.9923556
584,경기체육고등학교,고등학교,경기도 수원시 장안구 천천동 30-1,경기도 수원시 장안구 상률로 106,37.30395971,126.9785339
585,장명초등학교,초등학교,경기도 화성시 장안면 장안리 152,경기도 화성시 장안면 장명길 19-8,37.05658023,126.8521592
586,양산초등학교,초등학교,경기도 오산시 양산동 667-3,경기도 오산시 양산로 448,37.19721014,127.0321107
587,석천초등학교,초등학교,경기도 화성시 우정읍 석천리 52-3,경기도 화성시 우정읍 석천길 52,37.05515175,126.7887413
588,세정초등학교,초등학교,경기도 화성시 산척동 408-5,경기도 화성시 동탄순환대로12길 74,37.16678823,127.1260411
589,상현초등학교,초등학교,경기도 용인시 수지구 상현동 53-3,경기도 용인시 수지구 만현로67번길 23,37.30882494,127.089682
590,숙지초등학교,초등학교,경기도 수원시 팔달구 화서동 651,경기도 수원시 팔달구 덕영대로735번길 23-1,37.28323146,126.9917106
591,영통초등학교,초등학교,경기도 수원시 영통구 영통동 963-3,경기도 수원시 영통구 영통로 328,37.25451415,127.0644383
592,우만초등학교,초등학교,경기도 수원시 팔달구 우만동 300-3,경기도 수원시 팔달구 창룡대로210번길 20,37.29144659,127.0324161
593,칠보초등학교,초등학교,경기도 수원시 권선구 금곡동 245-2,경기도 수원시 권선구 금호로37번길 15,37.26986181,126.9553744
594,향남초등학교,초등학교,경기도 화성시 향남읍 백토리 553,경기도 화성시 향남읍 왜골길 7,37.1196974,126.9429182
595,동수원초등학교,초등학교,경기도 수원시 영통구 매탄동 898,경기도 수원시 영통구 인계로189번길 83,37.269568,127.0405268
596,백암고등학교,고등학교,경기도 용인시 처인구 백암면 근창리 166,경기도 용인시 처인구 백암면 백원로 519-9,37.164968,127.3685728
597,천천초등학교,초등학교,경기도 수원시 장안구 천천동 512,경기도 수원시 장안구 정자로42번길 17,37.30058446,126.982582
598,행정초등학교,초등학교,경기도 화성시 향남읍 행정리 493,경기도 화성시 향남읍 행정중앙1로 77,37.12664265,126.9236169
599,일월초등학교,초등학교,경기도 수원시 권선구 구운동 891,경기도 수원시 권선구 일월천로16번길 27,37.28421904,126.9743928
600,용인신봉초등학교,초등학교,경기도 용인시 수지구 신봉동 952,경기도 용인시 수지구 신봉2로 115,37.329657,127.068107
601,구갈중학교,중학교,경기도 용인시 기흥구 신갈동 163,경기도 용인시 기흥구 산양로 12,37.28484009,127.1087237
602,포곡초등학교,초등학교,경기도 용인시 처인구 포곡읍 전대리 167-1,경기도 용인시 처인구 포곡읍 부곡로 24,37.28217962,127.2202404
603,반송중학교,중학교,경기도 화성시 반송동 198,경기도 화성시 탄요1길 13,37.19024001,127.0710854
604,소현초등학교,초등학교,경기도 용인시 수지구 상현동 854,경기도 용인시 수지구 만현로133번길 78,37.30192517,127.0924337
605,천천고등학교,고등학교,경기도 수원시 장안구 천천동 513,경기도 수원시 장안구 정자로42번길 31,37.299453,126.982976
606,포곡고등학교,고등학교,경기도 용인시 처인구 포곡읍 둔전리 88-2,경기도 용인시 처인구 포곡읍 포곡로210번길 26,37.272591,127.2276557
607,수일초등학교,초등학교,경기도 수원시 장안구 파장동 411,경기도 수원시 장안구 수일로 85,37.31086106,127.0008865
608,고진초등학교,초등학교,경기도 용인시 처인구 고림동 1020,경기도 용인시 처인구 고림로 165-1,37.247328,127.218436
609,치동고등학교,고등학교,경기도 화성시 영천동 791,경기도 화성시 동탄순환대로 881-15,37.207606,127.0916952
610,와우고등학교,고등학교,경기도 화성시 봉담읍 동화리 237,경기도 화성시 봉담읍 동화서북안길 5,37.219526,126.9668641
611,광교호수중학교,중학교,경기도 수원시 영통구 원천동 596,경기도 수원시 영통구 월드컵로 8,37.27270031,127.0639887
612,내리숲초등학교,초등학교,경기도 화성시 봉담읍 내리 557-1,경기도 화성시 봉담읍 삼봉안1길 21-7,37.2261717981,126.9237352071
613,새봄초등학교,초등학교,경기도 화성시 병점동 756-298,경기도 화성시 병점노을로 19,37.20146282,127.0297732
